t_s,t_min,phase,altitude_m,fuel_mass_kg,ullage_volume_m3,tank_pressure_Pa,tank_temperature_K,o2_fraction,inert_flow_mol_s,fuel_burn_kg_s
0.0,0.0,climb,0.0,11998.9,3.0013750000000012,101325.0,288.15,0.20931152935476988,0.15,1.1
1.0,0.016666666666666666,climb,8.906666666666668,11997.8,3.0027500000000007,101218.04460486074,288.1499356740741,0.20912336765618206,0.1498416648480544,1.1
2.0,0.03333333333333333,climb,17.813333333333336,11996.699999999999,3.004125000000002,101111.18064710737,288.1498070936955,0.2089355142984868,0.14968346505863414,1.1
3.0,0.05,climb,26.72,11995.599999999999,3.0055000000000014,101004.4080669241,288.14961433025803,0.208747968677286,0.14952540054318889,1.1
4.0,0.06666666666666667,climb,35.62666666666667,11994.499999999998,3.0068750000000026,100897.72680452181,288.14935745507626,0.20856073018952997,0.1493674712132077,1.1
5.0,0.08333333333333333,climb,44.53333333333333,11993.399999999998,3.008250000000002,100791.13680013893,288.1490365393854,0.20837379823351398,0.14920967698022047,1.1
6.0,0.1,climb,53.44,11992.299999999997,3.0096250000000033,100684.63799404078,288.1486516543416,0.20818717220887506,0.14905201775579685,1.1
7.0,0.11666666666666667,climb,62.34666666666667,11991.199999999997,3.011000000000003,100578.23032651958,288.14820287102197,0.20800085151658884,0.14889449345154637,1.1
8.0,0.13333333333333333,climb,71.25333333333334,11990.099999999997,3.012375000000004,100471.91373789511,288.14769026042455,0.20781483555896593,0.14873710397911932,1.1
9.0,0.15,climb,80.16,11988.999999999996,3.0137500000000053,100365.68816851373,288.14711389346854,0.2076291237396491,0.14857984925020537,1.1
10.0,0.16666666666666666,climb,89.06666666666666,11987.899999999996,3.0151250000000047,100259.55355874937,288.1464738409943,0.20744371546360954,0.14842272917653496,1.1
11.0,0.18333333333333332,climb,97.97333333333333,11986.799999999996,3.016500000000006,100153.50984900257,288.1457701737636,0.20725861013714408,0.14826574366987796,1.1
12.0,0.2,climb,106.88,11985.699999999995,3.0178750000000054,100047.55697970117,288.1450029624594,0.20707380716787155,0.14810889264204466,1.1
13.0,0.21666666666666667,climb,115.78666666666668,11984.599999999995,3.0192500000000067,99941.6948913002,288.14417227768627,0.20688930596472982,0.14795217600488555,1.1
14.0,0.23333333333333334,climb,124.69333333333334,11983.499999999995,3.020625000000006,99835.92352428146,288.1432781899703,0.20670510593797242,0.14779559367029083,1.1
15.0,0.25,climb,133.6,11982.399999999994,3.0220000000000073,99730.24281915379,288.14232076975924,0.20652120649916542,0.14763914555019064,1.1
16.0,0.26666666666666666,climb,142.5066666666667,11981.299999999994,3.0233750000000086,99624.65271645343,288.14130008742245,0.20633760706118406,0.14748283155655578,1.1
17.0,0.2833333333333333,climb,151.41333333333333,11980.199999999993,3.024750000000008,99519.15315674318,288.1402162132512,0.20615430703820986,0.14732665160139627,1.1
18.0,0.3,climb,160.32,11979.099999999993,3.0261250000000093,99413.74408061324,288.1390692174587,0.20597130584572707,0.14717060559676273,1.1
19.0,0.31666666666666665,climb,169.2266666666667,11977.999999999993,3.0275000000000087,99308.42542868068,288.13785917018004,0.2057886029005197,0.14701469345474563,1.1
20.0,0.3333333333333333,climb,178.13333333333333,11976.899999999992,3.02887500000001,99203.19714158942,288.13658614147243,0.20560619762066829,0.1468589150874751,1.1
21.0,0.35,climb,187.04000000000002,11975.799999999992,3.0302500000000094,99098.05916001073,288.1352502013152,0.2054240894255468,0.14670327040712172,1.1
22.0,0.36666666666666664,climb,195.94666666666666,11974.699999999992,3.0316250000000107,98993.01142464246,288.13385141961004,0.2052422777358193,0.14654775932589556,1.1
23.0,0.38333333333333336,climb,204.85333333333332,11973.599999999991,3.03300000000001,98888.0538762099,288.13238986618086,0.20506076197343695,0.14639238175604724,1.1
24.0,0.4,climb,213.76,11972.49999999999,3.0343750000000114,98783.18645546491,288.130865610774,0.2048795415616349,0.14623713760986662,1.1
25.0,0.4166666666666667,climb,222.66666666666666,11971.39999999999,3.0357500000000126,98678.40910318651,288.1292787230583,0.20469861592492902,0.14608202679968393,1.1
26.0,0.43333333333333335,climb,231.57333333333335,11970.29999999999,3.037125000000012,98573.72176018084,288.12762927262526,0.20451798448911276,0.14592704923786948,1.1
27.0,0.45,climb,240.48,11969.19999999999,3.0385000000000133,98469.1243672806,288.12591732898903,0.20433764668125426,0.14577220483683284,1.1
28.0,0.4666666666666667,climb,249.38666666666668,11968.09999999999,3.0398750000000128,98364.61686534596,288.1241429615865,0.20415760192969298,0.14561749350902436,1.1
29.0,0.48333333333333334,climb,258.29333333333335,11966.999999999989,3.041250000000014,98260.19919526357,288.1223062397773,0.20397784966403668,0.14546291516693347,1.1
30.0,0.5,climb,267.2,11965.899999999989,3.0426250000000135,98155.87129794717,288.12040723284423,0.20379838931515842,0.14530846972308983,1.1
31.0,0.5166666666666667,climb,276.1066666666667,11964.799999999988,3.0440000000000147,98051.6331143376,288.1184460099929,0.20361922031519342,0.14515415709006307,1.1
32.0,0.5333333333333333,climb,285.0133333333334,11963.699999999988,3.045375000000014,97947.48458540252,288.1164226403522,0.20344034209753584,0.14499997718046265,1.1
33.0,0.55,climb,293.92,11962.599999999988,3.0467500000000154,97843.4256521363,288.114337192974,0.203261754096836,0.1448459299069375,1.1
34.0,0.5666666666666667,climb,302.82666666666665,11961.499999999987,3.0481250000000166,97739.45625556065,288.11218973683367,0.20308345574899703,0.14469201518217711,1.1
35.0,0.5833333333333334,climb,311.73333333333335,11960.399999999987,3.049500000000016,97635.57633672372,288.1099803408298,0.20290544649117195,0.14453823291891002,1.1
36.0,0.6,climb,320.64,11959.299999999987,3.0508750000000173,97531.78583670102,288.1077090737844,0.20272772576176074,0.14438458302990528,1.1
37.0,0.6166666666666667,climb,329.5466666666667,11958.199999999986,3.052250000000017,97428.0846965946,288.10537600444314,0.202550293000407,0.1442310654279713,1.1
38.0,0.6333333333333333,climb,338.4533333333334,11957.099999999986,3.053625000000018,97324.47285753334,288.10298120147525,0.20237314764799522,0.14407768002595608,1.1
39.0,0.65,climb,347.36,11955.999999999985,3.0550000000000175,97220.95026067352,288.1005247334736,0.20219628914664756,0.14392442673674835,1.1
40.0,0.6666666666666666,climb,356.26666666666665,11954.899999999985,3.0563750000000187,97117.51684719766,288.09800666895495,0.20201971693972093,0.1437713054732756,1.1
41.0,0.6833333333333333,climb,365.1733333333333,11953.799999999985,3.05775000000002,97014.17255831568,288.09542707635984,0.20184343047180406,0.14361831614850581,1.1
